Transaction Period,Memo,Cost/Price,Merchant Categ,Remaining,,,,
5/16/25,,1750,,1788313,,,,
4/29/25,,8976,,1797289,,,,
2/14/25,,-4564,,1792725,,,,
2/20/25,,-3185,,1789540,,,,
12/29/25,,-2872,,1786668,,,,
9/4/25,,169,,1786837,,,,
3/26/25,,-2532,,1784305,,,,
6/30/25,,-114,,1784191,,,,
5/28/25,,-53,,1784138,,,,
8/18/25,,-3478,,1780660,,,,
4/5/25,,4316,,1784976,,,,
11/23/25,,8740,,1793716,,,,
3/16/25,,6098,,1799814,,,,
2/21/25,,7024,,1806838,,,,
11/17/25,,-121,,1806717,,,,
5/27/25,,7586,,1814303,,,,
11/7/25,,878,,1815181,,,,
8/17/25,,4216,,1819397,,,,
5/23/25,,9036,,1828433,,,,
9/29/25,,7418,,1835851,,,,
11/6/25,,9315,,1845166,,,,
11/8/25,,-4517,,1840649,,,,
9/12/25,,7517,,1848166,,,,
2/23/25,,8970,,1857136,,,,
3/15/25,,8042,,1865178,,,,
5/27/25,,4513,,1869691,,,,
10/25/25,,7555,,1877246,,,,
6/6/25,,6936,,1884182,,,,
9/14/25,,-2139,,1882043,,,,
12/30/25,,9204,,1891247,,,,
8/3/25,,1668,,1892915,,,,
10/2/25,,-490,,1892425,,,,
9/27/25,,-60,,1892365,,,,
5/21/25,,9436,,1901801,,,,
11/20/25,,3368,,1905169,,,,
4/3/25,,8684,,1913853,,,,
11/3/25,,4610,,1918463,,,,
2/1/25,,2452,,1920915,,,,
8/30/25,,-2187,,1918728,,,,
7/10/25,,6775,,1925503,,,,
4/3/25,,2702,,1928205,,,,
11/14/25,,7044,,1935249,,,,
10/7/25,,-1915,,1933334,,,,
6/10/25,,6153,,1939487,,,,
1/9/25,,2551,,1942038,,,,
12/18/25,,-20,,1942018,,,,
3/22/25,,7445,,1949463,,,,
11/10/25,,3035,,1952498,,,,
6/22/25,,3769,,1956267,,,,
12/29/25,,-2435,,1953832,,,,
9/17/25,,8774,,1962606,,,,
3/26/25,,3143,,1965749,,,,
12/18/25,,-1086,,1964663,,,,
2/7/25,,2362,,1967025,,,,
12/29/25,,-1732,,1965293,,,,
2/26/25,,-4820,,1960473,,,,
3/11/25,,-319,,1960154,,,,
4/5/25,,-2648,,1957506,,,,
2/16/25,,3574,,1961080,,,,
9/29/25,,1039,,1962119,,,,
9/17/25,,5998,,1968117,,,,
2/22/25,,1942,,1970059,,,,
11/18/25,,1919,,1971978,,,,
7/19/25,,-2552,,1969426,,,,
8/6/25,,-2276,,1967150,,,,
1/13/25,,9239,,1976389,,,,
5/21/25,,9656,,1986045,,,,
1/29/25,,-791,,1985254,,,,
11/11/25,,1840,,1987094,,,,
3/17/25,,5001,,1992095,,,,
11/20/25,,5666,,1997761,,,,
1/16/25,,8880,,2006641,,,,
8/21/25,,9958,,2016599,,,,
9/10/25,,-755,,2015844,,,,
6/22/25,,-1985,,2013859,,,,
1/15/25,,2353,,2016212,,,,
5/10/25,,9228,,2025440,,,,
2/11/25,,-3424,,2022016,,,,
9/20/25,,5625,,2027641,,,,
10/2/25,,-4118,,2023523,,,,
5/12/25,,5059,,2028582,,,,
4/29/25,,7432,,2036014,,,,
11/7/25,,6481,,2042495,,,,
3/29/25,,113,,2042608,,,,
11/9/25,,3154,,2045762,,,,
1/5/25,,4037,,2049799,,,,
11/7/25,,5303,,2055102,,,,
6/21/25,,-462,,2054640,,,,
2/25/25,,1866,,2056506,,,,
2/1/25,,3297,,2059803,,,,
12/9/25,,8783,,2068586,,,,
2/2/25,,-110,,2068476,,,,
8/7/25,,-3573,,2064903,,,,
12/16/25,,-2136,,2062767,,,,
4/4/25,,70,,2062837,,,,
5/19/25,,5769,,2068606,,,,
3/1/25,,-532,,2068074,,,,
6/22/25,,-13,,2068061,,,,
10/6/25,,1097,,2069158,,,,
12/7/25,,2290,,2071448,,,,
11/27/25,,2159,,2073607,,,,
6/22/25,,-2996,,2070611,,,,
7/14/25,,4297,,2074908,,,,
8/25/25,,735,,2075643,,,,
9/28/25,,-4686,,2070957,,,,
2/17/25,,-449,,2070508,,,,
8/26/25,,6746,,2077254,,,,
6/24/25,,4377,,2081631,,,,
8/28/25,,1630,,2083261,,,,
4/5/25,,6389,,2089650,,,,
4/24/25,,-723,,2088927,,,,
5/29/25,,4273,,2093200,,,,
5/17/25,,4888,,2098088,,,,
10/26/25,,-2815,,2095273,,,,
8/27/25,,-2490,,2092783,,,,
3/7/25,,8746,,2101529,,,,
8/25/25,,1192,,2102721,,,,
11/3/25,,-3220,,2099501,,,,
5/26/25,,2022,,2101523,,,,
11/26/25,,139,,2101662,,,,
9/15/25,,1550,,2103212,,,,
6/26/25,,4894,,2108106,,,,
11/27/25,,7235,,2115341,,,,
4/11/25,,9250,,2124591,,,,
7/13/25,,9347,,2133938,,,,
8/20/25,,4135,,2138073,,,,
12/5/25,,-4968,,2133105,,,,
5/28/25,,-3092,,2130013,,,,
5/30/25,,-4841,,2125172,,,,
12/31/25,,7032,,2132204,,,,
1/9/25,,5766,,2137970,,,,
9/5/25,,9632,,2147602,,,,
6/20/25,,9923,,2157525,,,,
11/29/25,,9344,,2166869,,,,
3/16/25,,-4201,,2162668,,,,
5/20/25,,-3606,,2159062,,,,
12/11/25,,-2167,,2156895,,,,
9/10/25,,3525,,2160420,,,,
12/25/25,,-2150,,2158270,,,,
3/20/25,,2057,,2160327,,,,
6/18/25,,598,,2160925,,,,
12/14/25,,7065,,2167990,,,,
8/19/25,,-1013,,2166977,,,,
10/15/25,,-2575,,2164402,,,,
9/28/25,,6851,,2171253,,,,
1/17/25,,7372,,2178625,,,,
8/27/25,,-2051,,2176574,,,,
4/3/25,,7143,,2183717,,,,
7/10/25,,1200,,2184917,,,,
6/29/25,,1625,,2186542,,,,
3/9/25,,-487,,2186055,,,,
2/16/25,,6418,,2192473,,,,
5/19/25,,5306,,2197779,,,,
5/1/25,,3617,,2201396,,,,
8/6/25,,-1007,,2200389,,,,
11/20/25,,7094,,2207483,,,,
5/6/25,,-3810,,2203673,,,,
3/17/25,,1944,,2205617,,,,
12/14/25,,2484,,2208101,,,,
7/20/25,,8071,,2216172,,,,
12/12/25,,-3894,,2212278,,,,
6/12/25,,-1431,,2210847,,,,
3/6/25,,1746,,2212593,,,,
4/12/25,,-2823,,2209770,,,,
4/4/25,,-4389,,2205381,,,,
7/3/25,,7072,,2212453,,,,
4/5/25,,-90,,2212363,,,,
10/15/25,,7130,,2219493,,,,
12/15/25,,4826,,2224319,,,,
3/17/25,,1111,,2225430,,,,
5/23/25,,-4197,,2221233,,,,
5/8/25,,9413,,2230646,,,,
10/20/25,,8551,,2239197,,,,
10/12/25,,3955,,2243152,,,,
1/24/25,,9529,,2252681,,,,
7/26/25,,-3759,,2248922,,,,
2/25/25,,53,,2248975,,,,
10/15/25,,-1431,,2247544,,,,
7/2/25,,2548,,2250092,,,,
9/1/25,,969,,2251061,,,,
1/20/25,,464,,2251525,,,,
5/19/25,,-4102,,2247423,,,,
12/4/25,,9202,,2256625,,,,
7/20/25,,2270,,2258895,,,,
11/28/25,,5269,,2264164,,,,
12/31/25,,7358,,2271522,,,,
7/23/25,,1414,,2272936,,,,
12/8/25,,-2263,,2270673,,,,
5/2/25,,4545,,2275218,,,,
6/12/25,,9986,,2285204,,,,
6/16/25,,3474,,2288678,,,,
8/28/25,,330,,2289008,,,,
10/14/25,,2893,,2291901,,,,
10/26/25,,8875,,2300776,,,,
7/10/25,,4684,,2305460,,,,
5/24/25,,-2329,,2303131,,,,
5/14/25,,8833,,2311964,,,,
11/26/25,,3765,,2315729,,,,
1/21/25,,4241,,2319970,,,,
3/19/25,,2392,,2322362,,,,
3/30/25,,4565,,2326927,,,,
5/9/25,,-328,,2326599,,,,
11/14/25,,-4398,,2322201,,,,
2/25/25,,-2784,,2319417,,,,
4/9/25,,2756,,2322173,,,,
10/20/25,,-2141,,2320032,,,,
4/17/25,,5727,,2325759,,,,
6/23/25,,9297,,2335056,,,,
3/29/25,,-4708,,2330348,,,,
2/8/25,,4590,,2334938,,,,
2/6/25,,1626,,2336564,,,,
8/18/25,,4316,,2340880,,,,
12/21/25,,9051,,2349931,,,,
9/5/25,,-55,,2349876,,,,
12/8/25,,4547,,2354423,,,,
11/18/25,,-941,,2353482,,,,
8/28/25,,3475,,2356957,,,,
9/16/25,,-1009,,2355948,,,,
7/29/25,,982,,2356930,,,,
7/9/25,,-4342,,2352588,,,,
8/22/25,,2987,,2355575,,,,
4/17/25,,3415,,2358990,,,,
3/19/25,,5112,,2364102,,,,
12/19/25,,1849,,2365951,,,,
11/1/25,,-96,,2365855,,,,
4/10/25,,416,,2366271,,,,
5/26/25,,-1642,,2364629,,,,
1/27/25,,9425,,2374054,,,,
6/21/25,,1705,,2375759,,,,
6/4/25,,8075,,2383834,,,,
3/7/25,,2568,,2386402,,,,
4/25/25,,9253,,2395655,,,,
2/14/25,,4217,,2399872,,,,
2/7/25,,3623,,2403495,,,,
1/30/25,,4740,,2408235,,,,
11/20/25,,1797,,2410032,,,,
1/3/25,,7936,,2417968,,,,
1/27/25,,4726,,2422694,,,,
5/24/25,,7793,,2430487,,,,
2/12/25,,4312,,2434799,,,,
5/31/25,,4971,,2439770,,,,
2/14/25,,-463,,2439307,,,,
3/11/25,,9887,,2449194,,,,
6/21/25,,-564,,2448630,,,,
10/19/25,,8246,,2456876,,,,
7/26/25,,-3671,,2453205,,,,
12/13/25,,9055,,2462260,,,,
12/1/25,,803,,2463063,,,,
12/26/25,,-1585,,2461478,,,,
7/3/25,,7758,,2469236,,,,
10/13/25,,3885,,2473121,,,,
3/4/25,,5024,,2478145,,,,
7/22/25,,361,,2478506,,,,
3/13/25,,8289,,2486795,,,,
